customer_id,customer_name,email,country,city,signup_date,customer_segment
C00001,Customer 00001,customer00001@example.com,UK,London,2025-10-31,New
C00002,Customer 00002,customer00002@example.com,Singapore,Singapore,2025-04-10,New
C00003,Customer 00003,customer00003@example.com,Australia,Brisbane,2025-10-12,New
C00004,Customer 00004,customer00004@example.com,USA,Austin,2024-08-08,Regular
C00005,Customer 00005,customer00005@example.com,India,Bengaluru,2024-09-29,Regular
C00006,Customer 00006,customer00006@example.com,India,Bengaluru,2024-06-02,Regular
C00007,Customer 00007,customer00007@example.com,India,Bengaluru,2024-09-05,New
C00008,Customer 00008,customer00008@example.com,France,Marseille,2024-10-05,Premium
C00009,Customer 00009,customer00009@example.com,USA,New York,2025-03-15,Premium
C00010,Customer 00010,customer00010@example.com,Canada,Montreal,2024-10-02,VIP
C00011,Customer 00011,customer00011@example.com,India,Pune,2025-05-28,Premium
C00012,Customer 00012,customer00012@example.com,Singapore,Singapore,2024-03-28,Premium
C00013,Customer 00013,customer00013@example.com,Germany,Hamburg,2025-10-03,Premium
C00014,Customer 00014,customer00014@example.com,India,Delhi,2025-05-19,Regular
C00015,Customer 00015,customer00015@example.com,India,Hyderabad,2025-08-12,New
C00016,Customer 00016,customer00016@example.com,India,Hyderabad,2024-08-28,Regular
C00017,Customer 00017,customer00017@example.com,India,Hyderabad,2025-10-14,New
C00018,Customer 00018,customer00018@example.com,USA,Chicago,2025-11-05,Premium
C00019,Customer 00019,customer00019@example.com,UK,Manchester,2024-08-23,Regular
C00020,Customer 00020,customer00020@example.com,India,Chennai,2024-05-07,Regular
C00021,Customer 00021,customer00021@example.com,USA,San Francisco,2025-05-17,New
C00022,Customer 00022,customer00022@example.com,India,Hyderabad,2024-07-18,Regular
C00023,Customer 00023,customer00023@example.com,India,Chennai,2025-06-26,Regular
C00024,Customer 00024,customer00024@example.com,UK,Manchester,2025-05-16,Regular
C00025,Customer 00025,customer00025@example.com,UK,Leeds,2025-10-11,Regular
C00026,Customer 00026,customer00026@example.com,Germany,Berlin,2025-05-06,New
C00027,Customer 00027,customer00027@example.com,India,Delhi,2024-01-21,Regular
C00028,Customer 00028,customer00028@example.com,USA,San Francisco,2024-08-21,Regular
C00029,Customer 00029,customer00029@example.com,USA,Austin,2025-12-14,Premium
C00030,Customer 00030,customer00030@example.com,India,Hyderabad,2025-10-04,Regular
C00031,Customer 00031,customer00031@example.com,USA,Chicago,2025-02-19,Regular
C00032,Customer 00032,customer00032@example.com,India,Pune,2024-05-27,VIP
C00033,Customer 00033,customer00033@example.com,India,Delhi,2024-01-29,Regular
C00034,Customer 00034,customer00034@example.com,UAE,Abu Dhabi,2024-12-26,Regular
C00035,Customer 00035,customer00035@example.com,Singapore,Singapore,2024-11-03,Regular
C00036,Customer 00036,customer00036@example.com,Germany,Berlin,2024-06-10,Premium
C00037,Customer 00037,customer00037@example.com,India,Bengaluru,2024-03-01,Regular
C00038,Customer 00038,customer00038@example.com,India,Mumbai,2024-05-04,Regular
C00039,Customer 00039,customer00039@example.com,Canada,Toronto,2025-03-31,Premium
C00040,Customer 00040,customer00040@example.com,UK,London,2024-03-11,New
C00041,Customer 00041,customer00041@example.com,India,Delhi,2025-04-10,Premium
C00042,Customer 00042,customer00042@example.com,UK,London,2024-08-30,Regular
C00043,Customer 00043,customer00043@example.com,India,Mumbai,2025-05-04,Regular
C00044,Customer 00044,customer00044@example.com,UAE,Abu Dhabi,2024-08-08,Premium
C00045,Customer 00045,customer00045@example.com,India,Chennai,2025-04-17,Regular
C00046,Customer 00046,customer00046@example.com,Canada,Vancouver,2025-06-16,Premium
C00047,Customer 00047,customer00047@example.com,India,Hyderabad,2025-05-08,VIP
C00048,Customer 00048,customer00048@example.com,USA,Seattle,2024-03-22,Regular
C00049,Customer 00049,customer00049@example.com,USA,San Francisco,2025-06-05,Premium
